No.,School Name,Curriculum
192,Raha International School - Gardens,IB
193,Aspen Heights British School,IB
194,Australian School Of Abu Dhabi,IB
195,Emirates National Schools- Br2,IB
196,Raha International School - Khalifa,IB
197,The American International Ad,IB
198,Canadian International School,Canadian
199,German International School,German
200,International School Of Choueifat - Khalifa,SABIS
201,International School Of Choueifat - Mushrif,SABIS
202,International School Of Choueifat - Muwaiji,SABIS
203,Japanese School,Japanese
204,Abu Dhabi Grammar School,Canadian (Nova Scotia)
205,Maplewood Canadian International School,Canadian
206,Pakistan Community Welfare School,Pakistani
207,Pakistani Islamic Private School,Pakistani
208,Sabis International School - Ruwais,SABIS
209,Sabis International School - Yas,SABIS
210,Philippine Emirates Private School,Philippine
211,Shaikh Khalifa Bin Zayed Bangladesh Islamia Private School,Bangladeshi
212,Sheikh Khalifa Bin Zayed Arab Pakistani School,Pakistani
213,The Philippine Global School,Philippine
214,The Philippine School,Philippine
215,The Spanish School Of Abu Dhabi,Spanish
216,Universal Philippine School,Philippine
217,Italian International School,Italian
218,Sabis International School - Al Bateen - L.L.C - S.P.C,SABIS
219,The Russian School Of Abu Dhabi,Russian
